,name,Land,Maschinennummer,Nettowert,Menge,Verkaufsbeleg,latitude,longitude
393,Russia,RUS,3059710,417.87,59.0,5,61.52401,105.318756
394,Germany,DEU,3048210,415.83,5.0,3,51.165691,10.451526
395,Austria,AUT,6101593,413.25,50.0,1,47.516231,14.550072
396,Germany,DEU,3037050,413.12,11.0,6,51.165691,10.451526
397,Netherlands,NLD,3031120,412.16,1.0,1,52.132633,5.291266
398,Poland,POL,31022320,411.88,6.0,4,51.919438,19.145136
399,Germany,DEU,3062050,411.0,5.0,1,51.165691,10.451526
400,Austria,AUT,6101940,410.78,4.0,1,47.516231,14.550072
401,Spain,ESP,31004971,407.4,3.0,2,40.463667,-3.74922
402,Germany,DEU,32100820,400.4,4.0,3,51.165691,10.451526
403,Austria,AUT,3058820,399.12999999999994,8.0,5,47.516231,14.550072
404,Switzerland,CHE,3023680,398.8,1.0,1,46.818188,8.227512
405,Croatia,HRV,31023400,398.65,2.0,2,45.1,15.2
406,Portugal,PRT,3042930,397.71,1.0,1,39.399872,-8.224454
407,Germany,DEU,6007350,396.8,128.0,1,51.165691,10.451526
408,Poland,POL,31014820,394.31,1.0,1,51.919438,19.145136
409,Finland,FIN,3060530,393.4,5.0,1,61.892635,-6.911806
410,Germany,DEU,6102021,391.05,20.0,2,51.165691,10.451526
411,Italy,ITA,3042001,388.3,6.0,2,41.87194,12.56738
412,Denmark,DNK,3038460,388.0,8.0,1,56.26392,9.501785
413,Germany,DEU,56002470,387.6,1.0,1,51.165691,10.451526
414,United Kingdom,GBR,3037022,386.75,1.0,1,55.378051,-3.435973
415,Germany,DEU,3041780,386.1,1.0,1,51.165691,10.451526
416,United Kingdom,GBR,3042120,385.3,1.0,1,55.378051,-3.435973
417,Switzerland,CHE,3037160,385.3,1.0,1,46.818188,8.227512
418,Germany,DEU,6007960,383.42,1.0,1,51.165691,10.451526
419,Australia,AUS,3057580,382.13,1.0,1,-25.274398,133.775136
420,Germany,DEU,3021272,381.6,18.0,1,51.165691,10.451526
421,Poland,POL,3050040,380.8299999999999,14.0,5,51.919438,19.145136
422,Italy,ITA,6004930,380.64,7.0,2,41.87194,12.56738
423,Poland,POL,5413900,380.24,1.0,1,51.919438,19.145136
424,Germany,DEU,3044470,379.9,1.0,1,51.165691,10.451526
425,Germany,DEU,31011650,378.72,1.0,1,51.165691,10.451526
426,Canada,CAN,3058580,378.0,4.0,1,56.130366,-106.346771
427,Germany,DEU,6900060,377.23,2.0,2,51.165691,10.451526
428,United States of America,USA,3062920,376.18,1.0,1,37.09024,-95.712891
429,Poland,POL,31006692,376.11,1.0,1,51.919438,19.145136
430,Czechia,CZE,3049390,375.55,21.0,2,49.817492,15.472962
431,Canada,CAN,32000140,375.48,4.0,1,56.130366,-106.346771
432,Germany,DEU,32302170,375.4,1.0,1,51.165691,10.451526
433,Austria,AUT,7006850,375.4,1.0,1,47.516231,14.550072
434,Germany,DEU,31027370,375.4,1.0,1,51.165691,10.451526
435,Netherlands,NLD,3054640,374.5,27.0,6,52.132633,5.291266
436,Greece,GRC,6006630,374.2,2.0,1,39.074208,21.824312
437,Austria,AUT,38000800,372.40000000000003,3.0,2,47.516231,14.550072
438,Germany,DEU,6008480,369.4,1.0,1,51.165691,10.451526
439,Sweden,SWE,3050830,369.19,7.0,3,60.128161,18.643501
440,Austria,AUT,5418770,363.23,1.0,1,47.516231,14.550072
441,Austria,AUT,6005150,360.8,10.0,1,47.516231,14.550072
442,Austria,AUT,3048330,360.3,2.0,2,47.516231,14.550072
443,Finland,FIN,3035642,358.89,30.0,4,61.892635,-6.911806
444,Germany,DEU,31011810,357.04,1.0,1,51.165691,10.451526
445,Germany,DEU,3058330,354.41,6.0,3,51.165691,10.451526
446,Belgium,BEL,3043960,354.34,2.0,1,50.503887,4.469936
447,Netherlands,NLD,3054170,353.5,2.0,2,52.132633,5.291266
448,Russia,RUS,6602240,347.34000000000003,2.0,2,61.52401,105.318756
449,Austria,AUT,5414060,346.71,1.0,1,47.516231,14.550072
450,Germany,DEU,3046490,345.62,17.0,4,51.165691,10.451526
451,Germany,DEU,32100710,345.58000000000004,19.0,6,51.165691,10.451526
452,Switzerland,CHE,3037850,344.46999999999997,6.0,3,46.818188,8.227512
453,Russia,RUS,3057100,344.12,7.0,2,61.52401,105.318756
454,Australia,AUS,31000304,343.7,1.0,1,-25.274398,133.775136
455,Poland,POL,31026110,343.7,1.0,1,51.919438,19.145136
456,Italy,ITA,31001081,343.7,1.0,1,41.87194,12.56738
457,Germany,DEU,3040333,343.2,1.0,1,51.165691,10.451526
458,United Arab Emirates,ARE,3058170,343.0,30.0,2,23.424076,53.847818
459,Slovenia,SVN,6007440,342.72,2.0,1,46.151241,14.995463
460,Austria,AUT,3049170,342.41999999999996,14.0,3,47.516231,14.550072
461,Australia,AUS,3055730,340.99,18.0,3,-25.274398,133.775136
462,Germany,DEU,3055090,339.6,1.0,1,51.165691,10.451526
463,Poland,POL,7002342,339.5,10.0,1,51.919438,19.145136
464,Germany,DEU,7004851,336.15,5.0,1,51.165691,10.451526
465,Germany,DEU,7004400,336.08,1.0,1,51.165691,10.451526
466,Sweden,SWE,31001450,334.6,1.0,1,60.128161,18.643501
467,Finland,FIN,3055040,334.32,1.0,1,61.892635,-6.911806
468,Canada,CAN,3048560,333.9,1.0,1,56.130366,-106.346771
469,Germany,DEU,3041611,332.97,8.0,7,51.165691,10.451526
470,Italy,ITA,7001970,332.01,1.0,1,41.87194,12.56738
471,Italy,ITA,3059820,330.68,2.0,1,41.87194,12.56738
472,South Africa,ZAF,3058070,329.98,2.0,1,-30.559482,22.937506
473,United States of America,USA,6007870,329.90999999999997,9.0,2,37.09024,-95.712891
474,Germany,DEU,6800480,329.0,20.0,1,51.165691,10.451526
475,Italy,ITA,3051850,328.70000000000005,2.0,2,41.87194,12.56738
476,United Kingdom,GBR,3035600,327.32,6.0,3,55.378051,-3.435973
477,Belgium,BEL,3051510,327.28000000000003,5.0,2,50.503887,4.469936
478,Austria,AUT,3045850,326.55,1.0,1,47.516231,14.550072
479,Germany,DEU,32400950,326.40000000000003,6.0,2,51.165691,10.451526
480,Germany,DEU,32100800,325.8,3.0,3,51.165691,10.451526
481,Canada,CAN,3021602,325.5,3.0,1,56.130366,-106.346771
482,Germany,DEU,3066710,325.4,1.0,1,51.165691,10.451526
483,Panama,PAN,3069950,325.4,1.0,1,8.537981,-80.782127
484,Poland,POL,31007801,323.89,1.0,1,51.919438,19.145136
485,Slovenia,SVN,3058240,323.89,21.0,2,46.151241,14.995463
486,Japan,JPN,3052040,323.75,7.0,2,36.204824,138.252924
487,Italy,ITA,3047710,323.54,1.0,1,41.87194,12.56738
488,Austria,AUT,7006540,323.1,1.0,1,47.516231,14.550072
489,Germany,DEU,5104810,322.4,4.0,1,51.165691,10.451526
490,Chile,CHL,6007000,321.48,2.0,1,-35.675147,-71.542969
491,Spain,ESP,3041001,321.09,4.0,3,40.463667,-3.74922
492,Netherlands,NLD,3050910,320.2,8.0,5,52.132633,5.291266
493,Germany,DEU,3053720,319.57,3.0,2,51.165691,10.451526
494,Germany,DEU,3206750,319.2,2.0,1,51.165691,10.451526
495,Netherlands,NLD,3045940,319.15999999999997,9.0,3,52.132633,5.291266
496,Australia,AUS,32302530,318.99,2.0,2,-25.274398,133.775136
497,Poland,POL,3040230,317.24,21.0,3,51.919438,19.145136
498,Germany,DEU,6005362,315.7,7.0,1,51.165691,10.451526
499,Belgium,BEL,31018870,315.56,1.0,1,50.503887,4.469936
500,Spain,ESP,0,315.56,1.0,1,40.463667,-3.74922
501,Slovenia,SVN,3042940,315.35,1.0,1,46.151241,14.995463
502,Czechia,CZE,6008060,314.79999999999995,12.0,3,49.817492,15.472962
503,Germany,DEU,3051340,314.27,5.0,2,51.165691,10.451526
504,Germany,DEU,31002431,314.01,2.0,2,51.165691,10.451526
505,Finland,FIN,3019220,312.55,1.0,1,61.892635,-6.911806
506,Austria,AUT,5417020,311.8,1.0,1,47.516231,14.550072
507,Germany,DEU,31029290,311.2,3.0,3,51.165691,10.451526
508,Germany,DEU,3050480,311.0,7.0,2,51.165691,10.451526
509,Austria,AUT,6007830,310.73,1.0,1,47.516231,14.550072
510,Germany,DEU,51001560,310.0,1.0,1,51.165691,10.451526
511,Germany,DEU,32100650,309.2,2.0,2,51.165691,10.451526
512,Poland,POL,3059450,308.71999999999997,5.0,3,51.919438,19.145136
513,Germany,DEU,3050360,307.44,4.0,4,51.165691,10.451526
514,Finland,FIN,51000631,306.46,2.0,1,61.892635,-6.911806
515,Russia,RUS,3054290,305.76,2.0,2,61.52401,105.318756
516,Canada,CAN,3057070,303.94,5.0,3,56.130366,-106.346771
517,Austria,AUT,5416310,298.8,4.0,2,47.516231,14.550072
518,Germany,DEU,7007820,298.8,5.0,1,51.165691,10.451526
519,Poland,POL,6007780,297.52,9.0,4,51.919438,19.145136
520,Germany,DEU,6004633,297.0,12.0,1,51.165691,10.451526
521,Finland,FIN,3026750,296.8,4.0,1,61.892635,-6.911806
522,Germany,DEU,38001150,296.6,7.0,3,51.165691,10.451526
523,Austria,AUT,7006790,296.1,15.0,1,47.516231,14.550072
524,Poland,POL,3051950,295.61,4.0,2,51.919438,19.145136
525,Czechia,CZE,3047190,295.26,1.0,1,49.817492,15.472962
526,Italy,ITA,3021120,293.5,1.0,1,41.87194,12.56738
527,Guatemala,GTM,3057770,293.03,6.0,3,15.783471,-90.230759
528,Austria,AUT,3043770,291.4,2.0,1,47.516231,14.550072
529,Germany,DEU,6900080,291.0,6.0,1,51.165691,10.451526
530,Italy,ITA,7002230,289.0,1.0,1,41.87194,12.56738
531,Germany,DEU,3038200,289.0,9.0,2,51.165691,10.451526
532,Saudi Arabia,SAU,3042080,287.85,6.0,1,23.885942,45.079162
533,Netherlands,NLD,6005381,286.44,1.0,1,52.132633,5.291266
534,Germany,DEU,6005030,284.94,1.0,1,51.165691,10.451526
535,Germany,DEU,6602550,284.4,2.0,1,51.165691,10.451526
536,Romania,ROU,0,282.96,1.0,1,45.943161,24.96676
537,Greece,GRC,3045420,282.72,6.0,1,39.074208,21.824312
538,Belgium,BEL,31019840,282.24,1.0,1,50.503887,4.469936
539,Spain,ESP,31016620,282.24,1.0,1,40.463667,-3.74922
540,Netherlands,NLD,3041463,282.16999999999996,14.0,4,52.132633,5.291266
541,United Kingdom,GBR,6006760,282.09999999999997,16.0,4,55.378051,-3.435973
542,Austria,AUT,5412810,282.0,1.0,1,47.516231,14.550072
543,Germany,DEU,3048710,281.4,5.0,3,51.165691,10.451526
544,Canada,CAN,6800460,281.33,11.0,2,56.130366,-106.346771
545,United States of America,USA,31037600,280.0,1.0,1,37.09024,-95.712891
546,United Kingdom,GBR,3060370,278.74,1.0,1,55.378051,-3.435973
547,Spain,ESP,6800060,278.74,1.0,1,40.463667,-3.74922
548,Chile,CHL,3053760,277.69,2.0,2,-35.675147,-71.542969
549,Austria,AUT,6003873,277.59,6.0,1,47.516231,14.550072
550,Canada,CAN,3059680,276.43,1.0,1,56.130366,-106.346771
551,Spain,ESP,3049340,276.36,16.0,4,40.463667,-3.74922
552,Austria,AUT,3046640,275.6,2.0,2,47.516231,14.550072
553,Austria,AUT,3054870,275.55,9.0,2,47.516231,14.550072
554,Germany,DEU,38000930,274.90000000000003,7.0,5,51.165691,10.451526
555,Germany,DEU,3053520,274.0,7.0,3,51.165691,10.451526
556,Italy,ITA,6005521,273.58,3.0,2,41.87194,12.56738
557,Germany,DEU,3059630,273.48,6.0,4,51.165691,10.451526
558,Poland,POL,6104990,273.0,20.0,1,51.919438,19.145136
559,Netherlands,NLD,3046200,273.0,1.0,1,52.132633,5.291266
560,Germany,DEU,3028181,271.68,1.0,1,51.165691,10.451526
561,Switzerland,CHE,3046590,271.6,4.0,1,46.818188,8.227512
562,Poland,POL,6007640,271.6,8.0,2,51.919438,19.145136
563,Germany,DEU,3052700,271.21,6.0,4,51.165691,10.451526
564,Denmark,DNK,3210480,271.2,4.0,1,56.26392,9.501785
565,Germany,DEU,31023420,270.95,2.0,2,51.165691,10.451526
566,Poland,POL,31024220,270.69,2.0,2,51.919438,19.145136
567,Germany,DEU,3053440,270.0,3.0,2,51.165691,10.451526
568,Israel,ISR,3044830,269.71,1.0,1,31.046051,34.851612
569,Israel,ISR,3050240,269.71,1.0,1,31.046051,34.851612
570,United Kingdom,GBR,3011740,269.71,1.0,1,55.378051,-3.435973
571,Slovakia,SVK,3049320,269.71,1.0,1,48.669026,19.699024
572,United Kingdom,GBR,38000620,268.73,7.0,2,55.378051,-3.435973
573,United States of America,USA,3038960,267.83,2.0,2,37.09024,-95.712891
574,South Africa,ZAF,3056990,266.28,6.0,1,-30.559482,22.937506
575,Russia,RUS,6008260,266.0,1.0,1,61.52401,105.318756
576,Spain,ESP,31010702,266.0,1.0,1,40.463667,-3.74922
577,Italy,ITA,32400960,266.0,5.0,1,41.87194,12.56738
578,South Africa,ZAF,6602760,265.51,1.0,1,-30.559482,22.937506
579,Canada,CAN,3059900,265.4,4.0,3,56.130366,-106.346771
580,Germany,DEU,7007570,264.48,3.0,1,51.165691,10.451526
581,United States of America,USA,3048690,263.28,8.0,3,37.09024,-95.712891
582,Austria,AUT,5403360,263.2,1.0,1,47.516231,14.550072
583,South Africa,ZAF,31016762,262.78,1.0,1,-30.559482,22.937506
584,Germany,DEU,3038871,262.4,4.0,1,51.165691,10.451526
585,Germany,DEU,7005312,261.45,5.0,1,51.165691,10.451526
586,Germany,DEU,3048420,261.45,5.0,1,51.165691,10.451526
587,Germany,DEU,32301881,260.6,3.0,2,51.165691,10.451526
588,Germany,DEU,3064090,259.9,1.0,1,51.165691,10.451526
589,Germany,DEU,32100740,258.90000000000003,10.0,3,51.165691,10.451526
590,Australia,AUS,3055070,258.78999999999996,3.0,2,-25.274398,133.775136
591,United Kingdom,GBR,6103551,257.88,1.0,1,55.378051,-3.435973
592,Latvia,LVA,31600571,257.6,1.0,1,56.879635,24.603189
593,Slovakia,SVK,31012870,257.6,1.0,1,48.669026,19.699024
594,Netherlands,NLD,3401220,257.18,6.0,2,52.132633,5.291266
595,Austria,AUT,6602670,256.4,6.0,2,47.516231,14.550072
596,Austria,AUT,3059730,255.71,4.0,2,47.516231,14.550072
597,Czechia,CZE,3062700,255.31,3.0,3,49.817492,15.472962
598,Russia,RUS,3061020,253.8,14.0,4,61.52401,105.318756
599,United States of America,USA,3060610,251.65,3.0,2,37.09024,-95.712891
600,United States of America,USA,3051380,250.25,6.0,2,37.09024,-95.712891
601,Germany,DEU,32100860,249.55,1.0,1,51.165691,10.451526
602,Germany,DEU,6004082,249.3,1.0,1,51.165691,10.451526
603,Austria,AUT,3027721,246.07999999999998,11.0,3,47.516231,14.550072
604,Poland,POL,6008130,246.04999999999998,3.0,2,51.919438,19.145136
605,United States of America,USA,31600523,245.28,1.0,1,37.09024,-95.712891
606,United Kingdom,GBR,3035190,245.07,3.0,2,55.378051,-3.435973
607,Germany,DEU,3059540,244.54000000000002,3.0,3,51.165691,10.451526
608,United States of America,USA,6104630,244.51,1.0,1,37.09024,-95.712891
609,Slovenia,SVN,3035840,242.26999999999998,3.0,2,46.151241,14.995463
610,Guatemala,GTM,3054490,239.0,1.0,1,15.783471,-90.230759
611,Switzerland,CHE,3058380,239.0,1.0,1,46.818188,8.227512
612,Germany,DEU,3058930,239.0,1.0,1,51.165691,10.451526
613,Finland,FIN,6105220,238.41,4.0,2,61.892635,-6.911806
614,Poland,POL,3045580,237.72,1.0,1,51.919438,19.145136
615,Austria,AUT,7003930,236.6,1.0,1,47.516231,14.550072
616,Netherlands,NLD,3208060,235.2,2.0,1,52.132633,5.291266
617,United States of America,USA,3015900,235.2,2.0,1,37.09024,-95.712891
618,Italy,ITA,5403660,234.5,2.0,1,41.87194,12.56738
619,Mexico,MEX,3063760,234.48,1.0,1,23.634501,-102.552784
620,Germany,DEU,6004390,233.6,2.0,1,51.165691,10.451526
621,Malaysia,MYS,3038620,233.2,2.0,1,4.210484,101.975766
622,South Africa,ZAF,31029420,233.03,1.0,1,-30.559482,22.937506
623,Germany,DEU,3039331,231.83,1.0,1,51.165691,10.451526
624,Germany,DEU,3051320,231.51,8.0,5,51.165691,10.451526
625,United States of America,USA,5500501,231.0,1.0,1,37.09024,-95.712891
626,Ireland,IRL,3042591,230.65,9.0,4,53.41291,-8.24389
627,United Kingdom,GBR,6103001,229.67,1.0,1,55.378051,-3.435973
628,Belgium,BEL,3049150,229.67,1.0,1,50.503887,4.469936
629,Germany,DEU,38000390,229.0,1.0,1,51.165691,10.451526
630,Germany,DEU,3062710,228.8,2.0,1,51.165691,10.451526
631,Australia,AUS,6007650,227.22,1.0,1,-25.274398,133.775136
632,Italy,ITA,6009020,225.3,5.0,3,41.87194,12.56738
633,Germany,DEU,7002741,225.2,1.0,1,51.165691,10.451526
634,Germany,DEU,3209000,224.8,2.0,1,51.165691,10.451526
635,Austria,AUT,3204673,224.8,2.0,1,47.516231,14.550072
636,Italy,ITA,3042950,224.35,3.0,2,41.87194,12.56738
637,China,CHN,3048780,220.96000000000004,5.0,3,35.86166,104.195397
638,Germany,DEU,3036502,220.5,10.0,1,51.165691,10.451526
639,United States of America,USA,3037223,220.5,6.0,3,37.09024,-95.712891
640,Italy,ITA,3053580,220.5,7.0,3,41.87194,12.56738
641,Greece,GRC,3050510,217.94,4.0,3,39.074208,21.824312
642,South Africa,ZAF,3014810,217.0,2.0,1,-30.559482,22.937506
643,Lebanon,LBN,31028690,216.5,1.0,1,33.854721,35.862285
644,Germany,DEU,32100620,216.41,4.0,3,51.165691,10.451526
645,Germany,DEU,3040070,216.4,24.0,2,51.165691,10.451526
646,Austria,AUT,6101780,216.0,10.0,1,47.516231,14.550072
647,Germany,DEU,38000090,214.64,1.0,1,51.165691,10.451526
648,Poland,POL,3065510,214.48,8.0,1,51.919438,19.145136
649,Portugal,PRT,31008341,213.5,2.0,2,39.399872,-8.224454
650,Germany,DEU,3035020,212.13,1.0,1,51.165691,10.451526
651,Germany,DEU,31001182,212.04,2.0,2,51.165691,10.451526
652,Italy,ITA,0,212.03,2.0,2,41.87194,12.56738
653,Netherlands,NLD,3032650,211.89,2.0,2,52.132633,5.291266
654,Germany,DEU,3053480,210.45999999999998,9.0,3,51.165691,10.451526
655,Poland,POL,3049300,210.07000000000002,5.0,2,51.919438,19.145136
656,Austria,AUT,3016470,209.4,1.0,1,47.516231,14.550072
657,Germany,DEU,3056020,208.7,4.0,3,51.165691,10.451526
658,Netherlands,NLD,3049150,208.32,6.0,1,52.132633,5.291266
659,Austria,AUT,3021612,207.5,6.0,2,47.516231,14.550072
660,Germany,DEU,56002880,207.2,1.0,1,51.165691,10.451526
661,United States of America,USA,3035710,206.99,1.0,1,37.09024,-95.712891
662,Austria,AUT,6105080,205.86,3.0,1,47.516231,14.550072
663,United States of America,USA,3056560,205.45000000000002,4.0,3,37.09024,-95.712891
664,Germany,DEU,3063470,204.8,21.0,2,51.165691,10.451526
665,Austria,AUT,3059280,204.75,5.0,1,47.516231,14.550072
666,Spain,ESP,3061730,204.12,2.0,1,40.463667,-3.74922
667,Russia,RUS,6800100,203.7,6.0,1,61.52401,105.318756
668,Germany,DEU,3029840,202.6,1.0,1,51.165691,10.451526
669,Germany,DEU,3203411,202.32,2.0,1,51.165691,10.451526
670,United Kingdom,GBR,3063270,199.92000000000002,3.0,2,55.378051,-3.435973
671,Germany,DEU,5415740,199.63,2.0,1,51.165691,10.451526
672,Germany,DEU,31032060,199.6,1.0,1,51.165691,10.451526
673,Belgium,BEL,3044380,198.94,10.0,2,50.503887,4.469936
674,Germany,DEU,31008551,198.0,1.0,1,51.165691,10.451526
675,Thailand,THA,31040730,198.0,1.0,1,15.870032,100.992541
676,Germany,DEU,6601910,197.75,1.0,1,51.165691,10.451526
677,Germany,DEU,3026261,197.68,1.0,1,51.165691,10.451526
678,Spain,ESP,6600880,197.4,10.0,1,40.463667,-3.74922
679,Germany,DEU,51001990,197.0,2.0,1,51.165691,10.451526
680,Austria,AUT,6601380,194.11,1.0,1,47.516231,14.550072
681,Germany,DEU,7008860,194.0,4.0,1,51.165691,10.451526
682,Poland,POL,3039740,193.83,6.0,2,51.919438,19.145136
683,Ireland,IRL,0,193.8,6.0,1,53.41291,-8.24389
684,Germany,DEU,3048610,193.47,6.0,3,51.165691,10.451526
685,Germany,DEU,3057040,193.4,3.0,2,51.165691,10.451526
686,Switzerland,CHE,6006590,192.71,13.0,2,46.818188,8.227512
687,Germany,DEU,7002410,192.6,10.0,1,51.165691,10.451526
688,Japan,JPN,31005990,192.5,1.0,1,36.204824,138.252924
689,Poland,POL,3041844,192.15,5.0,1,51.919438,19.145136
690,Germany,DEU,31023460,192.1,1.0,1,51.165691,10.451526
691,Austria,AUT,3036370,191.35,10.0,5,47.516231,14.550072
692,Netherlands,NLD,3045980,191.04,27.0,8,52.132633,5.291266
693,Germany,DEU,32301890,190.51,1.0,1,51.165691,10.451526
694,Germany,DEU,31005234,190.2,1.0,1,51.165691,10.451526
695,Netherlands,NLD,3040244,189.0,5.0,3,52.132633,5.291266
696,Germany,DEU,32100250,188.71,6.0,4,51.165691,10.451526
697,Lebanon,LBN,3059190,187.34,4.0,1,33.854721,35.862285
698,Croatia,HRV,3052520,187.18,7.0,2,45.1,15.2
699,Switzerland,CHE,6008570,187.1,1.0,1,46.818188,8.227512
700,Germany,DEU,6800670,185.82,17.0,3,51.165691,10.451526
701,Germany,DEU,7004630,185.76,2.0,1,51.165691,10.451526
702,Germany,DEU,56001600,185.0,1.0,1,51.165691,10.451526
703,Russia,RUS,3050720,184.24,4.0,4,61.52401,105.318756
704,Peru,PER,0,183.88,3.0,3,-9.189967,-75.015152
705,Croatia,HRV,6007490,183.75,5.0,1,45.1,15.2
706,Poland,POL,7101150,183.33,1.0,1,51.919438,19.145136
707,Germany,DEU,32100400,183.0,4.0,2,51.165691,10.451526
708,Germany,DEU,6800550,182.5,6.0,3,51.165691,10.451526
709,Germany,DEU,31035840,182.0,10.0,3,51.165691,10.451526
710,United Kingdom,GBR,3036360,181.79,3.0,2,55.378051,-3.435973
711,Spain,ESP,3055190,181.32999999999998,14.0,7,40.463667,-3.74922
712,Poland,POL,3039831,181.3,7.0,4,51.919438,19.145136
713,Denmark,DNK,32400270,180.88,1.0,1,56.26392,9.501785
714,Austria,AUT,38000600,180.53,1.0,1,47.516231,14.550072
715,Poland,POL,38000230,180.32,4.0,1,51.919438,19.145136
716,Poland,POL,31017810,177.73,1.0,1,51.919438,19.145136
717,Austria,AUT,6103840,177.0,1.0,1,47.516231,14.550072
718,Germany,DEU,7007830,175.0,2.0,1,51.165691,10.451526
719,Germany,DEU,7004390,174.9,1.0,1,51.165691,10.451526
720,Germany,DEU,32100950,174.58,1.0,1,51.165691,10.451526
721,Austria,AUT,6602440,174.58,1.0,1,47.516231,14.550072
722,Germany,DEU,31002510,173.6,4.0,1,51.165691,10.451526
723,Germany,DEU,90000830,173.4,3.0,1,51.165691,10.451526
724,Romania,ROU,3067480,173.18,1.0,1,45.943161,24.96676
725,Germany,DEU,32600560,173.14,3.0,1,51.165691,10.451526
726,United States of America,USA,50401240,173.04,2.0,1,37.09024,-95.712891
727,South Africa,ZAF,31035570,172.62,1.0,1,-30.559482,22.937506
728,Luxembourg,LUX,31011880,172.62,1.0,1,49.815273,6.129583
729,Austria,AUT,6002751,171.38,4.0,1,47.516231,14.550072
730,Austria,AUT,5416130,171.0,2.0,1,47.516231,14.550072
731,Germany,DEU,32100700,170.9,5.0,2,51.165691,10.451526
732,Denmark,DNK,50300480,170.8,1.0,1,56.26392,9.501785
733,Austria,AUT,7005070,170.8,1.0,1,47.516231,14.550072
734,Greece,GRC,3060990,169.57,5.0,2,39.074208,21.824312
735,Austria,AUT,5418490,169.38,4.0,3,47.516231,14.550072
736,Colombia,COL,31033340,167.87,3.0,3,4.570868,-74.297333
737,Austria,AUT,5402330,167.5,1.0,1,47.516231,14.550072
738,Austria,AUT,5404740,167.5,1.0,1,47.516231,14.550072
739,Slovenia,SVN,3041050,167.3,1.0,1,46.151241,14.995463
740,Poland,POL,3052470,167.3,1.0,1,51.919438,19.145136
741,Germany,DEU,3400610,166.8,10.0,3,51.165691,10.451526
742,Austria,AUT,3044810,166.4,26.0,2,47.516231,14.550072
743,United States of America,USA,3038930,166.32,6.0,1,37.09024,-95.712891
744,Germany,DEU,7002871,166.23000000000002,3.0,2,51.165691,10.451526
745,Austria,AUT,5413420,166.18,2.0,2,47.516231,14.550072
746,Germany,DEU,7008000,164.98000000000002,16.0,4,51.165691,10.451526
747,Germany,DEU,6007470,164.22,15.0,2,51.165691,10.451526
748,Germany,DEU,3057240,164.0,1.0,1,51.165691,10.451526
749,Germany,DEU,31004610,164.0,1.0,1,51.165691,10.451526
750,Poland,POL,31020190,163.59,1.0,1,51.919438,19.145136
751,United States of America,USA,3034370,163.59,1.0,1,37.09024,-95.712891
752,Germany,DEU,3046220,162.91,31.0,4,51.165691,10.451526
753,Poland,POL,3051530,162.82,2.0,1,51.919438,19.145136
754,Netherlands,NLD,3049420,162.4,8.0,1,52.132633,5.291266
755,Poland,POL,3049540,161.82999999999998,13.0,2,51.919438,19.145136
756,Denmark,DNK,0,161.21,7.0,2,56.26392,9.501785
757,Austria,AUT,5412560,161.2,2.0,1,47.516231,14.550072
758,Germany,DEU,32100270,160.39999999999998,10.0,3,51.165691,10.451526
759,Germany,DEU,6105710,160.2,3.0,1,51.165691,10.451526
760,South Africa,ZAF,3045530,158.26999999999998,5.0,3,-30.559482,22.937506
761,Belgium,BEL,3205840,157.36,2.0,1,50.503887,4.469936
762,Switzerland,CHE,6006041,157.13,1.0,1,46.818188,8.227512
763,United Kingdom,GBR,6800510,156.87,3.0,1,55.378051,-3.435973
764,Belgium,BEL,3057860,156.59,1.0,1,50.503887,4.469936
765,Austria,AUT,6104350,156.01,9.0,3,47.516231,14.550072
766,Spain,ESP,6007840,155.89000000000001,5.0,3,40.463667,-3.74922
767,Lithuania,LTU,3059080,155.71,2.0,2,55.169438,23.881275
768,Germany,DEU,3039881,155.4,7.0,1,51.165691,10.451526
769,Austria,AUT,3055070,155.12,10.0,2,47.516231,14.550072
770,Dominican Rep.,DOM,3056410,155.0,1.0,1,18.735693,-70.162651
771,Italy,ITA,320598,154.2,1.0,1,41.87194,12.56738
772,Malaysia,MYS,3043730,153.95999999999998,10.0,4,4.210484,101.975766
773,Austria,AUT,3035491,153.93,1.0,1,47.516231,14.550072
774,Japan,JPN,6008500,153.7,1.0,1,36.204824,138.252924
775,Mexico,MEX,3030551,153.51,1.0,1,23.634501,-102.552784
776,Poland,POL,3041152,152.19,8.0,2,51.919438,19.145136
777,Poland,POL,6007260,152.18,3.0,2,51.919438,19.145136
778,Spain,ESP,3051740,151.79,7.0,3,40.463667,-3.74922
779,Switzerland,CHE,31033080,151.55,1.0,1,46.818188,8.227512
780,South Africa,ZAF,3048800,151.14000000000001,7.0,2,-30.559482,22.937506
781,Germany,DEU,3062250,150.6,1.0,1,51.165691,10.451526
782,Germany,DEU,7005972,149.94,2.0,1,51.165691,10.451526
783,Austria,AUT,7000691,149.6,1.0,1,47.516231,14.550072
784,Austria,AUT,7002301,149.6,1.0,1,47.516231,14.550072
785,Poland,POL,3050740,149.04,5.0,3,51.919438,19.145136
786,Germany,DEU,38000630,148.6,1.0,1,51.165691,10.451526
787,United Kingdom,GBR,3204200,148.4,2.0,1,55.378051,-3.435973
788,Qatar,QAT,6602200,147.8,1.0,1,25.354826,51.183884
789,Slovenia,SVN,3046710,147.35,1.0,1,46.151241,14.995463
790,Poland,POL,3053400,147.28,1.0,1,51.919438,19.145136
791,Spain,ESP,3062990,147.0,6.0,1,40.463667,-3.74922
